host_id_x,neighbourhood,latitude_x,longitude_x,room_type_x,price_x,number_of_reviews_x,reviews_per_month_x,availability_365_x,accommodates,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,review_scores_rating,instant_bookable
1343039.0,XV Cassia/Flaminia,41.94537,12.4401,Private room,130.0,4.0,0.03,170.0,2.0,within a few hours,80.0,38.0,0.0,4.25,0.0
1146531.0,XIII Aurelia,41.89585,12.44835,Private room,135.0,37.0,0.28,80.0,2.0,within an hour,100.0,73.0,0.0,4.63,0.0
248295.0,I Centro Storico,41.89513,12.47405,Entire home/apt,180.0,239.0,1.65,321.0,2.0,within an hour,100.0,99.0,1.0,4.64,1.0
1350540.0,I Centro Storico,41.88862,12.47607,Entire home/apt,130.0,230.0,1.61,285.0,4.0,within an hour,100.0,100.0,1.0,4.95,1.0
1180196.0,I Centro Storico,41.89057,12.4966,Entire home/apt,173.0,743.0,5.11,167.0,4.0,within an hour,100.0,100.0,1.0,4.9,0.0
1358462.0,VII San Giovanni/Cinecittà,41.88008,12.52006,Entire home/apt,100.0,76.0,0.56,202.0,4.0,within a few hours,100.0,100.0,1.0,4.87,1.0
1185020.0,I Centro Storico,41.8965,12.47288,Entire home/apt,1259.0,156.0,1.12,212.0,12.0,within an hour,100.0,100.0,0.0,4.77,1.0
1185020.0,I Centro Storico,41.8965,12.47288,Entire home/apt,1084.0,184.0,1.46,300.0,8.0,within an hour,100.0,100.0,0.0,4.76,1.0
1203371.0,I Centro Storico,41.89749,12.46995,Private room,83.0,331.0,2.3,292.0,2.0,within an hour,100.0,96.0,0.0,4.8,1.0
1311777.0,XIII Aurelia,41.89984,12.45392,Entire home/apt,294.0,196.0,1.41,259.0,10.0,within an hour,100.0,99.0,1.0,4.79,1.0
434488.0,I Centro Storico,41.8857,12.47611,Entire home/apt,369.0,77.0,0.54,45.0,6.0,within a few hours,100.0,83.0,0.0,4.88,0.0
1374312.0,I Centro Storico,41.89674,12.4728,Entire home/apt,250.0,345.0,2.55,252.0,10.0,within an hour,100.0,96.0,0.0,4.56,0.0
1208472.0,I Centro Storico,41.90554,12.49993,Entire home/apt,96.0,289.0,2.0,23.0,2.0,within an hour,100.0,100.0,0.0,4.73,1.0
1376239.0,I Centro Storico,41.89521,12.50603,Private room,82.0,219.0,1.55,44.0,3.0,within an hour,91.0,100.0,0.0,4.75,1.0
